S:32 E:1 B:32 
here
hits:0 misses:1 evictions0
hits:1 misses:1 evictions0
hits:1 misses:2 evictions0
hits:2 misses:2 evictions0
hits:3 misses:2 evictions0
hits:4 misses:2 evictions0
hits:4 misses:3 evictions0
hits:4 misses:4 evictions0
hits:4 misses:5 evictions0
hits:4 misses:6 evictions0
hits:4 misses:7 evictions0
hits:4 misses:8 evictions0
hits:4 misses:9 evictions0
hits:5 misses:9 evictions0
hits:5 misses:10 evictions0
hits:5 misses:11 evictions0
hits:5 misses:12 evictions1
hits:6 misses:12 evictions1
hits:6 misses:13 evictions2
hits:6 misses:14 evictions3
hits:7 misses:14 evictions3
hits:8 misses:14 evictions3
hits:8 misses:15 evictions4
hits:8 misses:16 evictions4
hits:9 misses:16 evictions4
hits:10 misses:16 evictions4
hits:11 misses:16 evictions4
hits:11 misses:17 evictions4
hits:12 misses:17 evictions4
hits:13 misses:17 evictions4
hits:13 misses:18 evictions5
hits:13 misses:19 evictions5
hits:13 misses:20 evictions6
hits:14 misses:20 evictions6
hits:15 misses:20 evictions6
hits:15 misses:21 evictions6
hits:16 misses:21 evictions6
hits:17 misses:21 evictions6
hits:18 misses:21 evictions6
hits:18 misses:22 evictions6
hits:18 misses:23 evictions6
hits:19 misses:23 evictions6
hits:19 misses:24 evictions7
hits:19 misses:25 evictions8
hits:20 misses:25 evictions8
hits:21 misses:25 evictions8
hits:21 misses:26 evictions9
hits:21 misses:27 evictions9
hits:21 misses:28 evictions9
hits:22 misses:28 evictions9
hits:23 misses:28 evictions9
hits:23 misses:29 evictions9
hits:24 misses:29 evictions9
hits:24 misses:30 evictions10
hits:25 misses:30 evictions10
hits:26 misses:30 evictions10
hits:26 misses:31 evictions11
hits:27 misses:31 evictions11
hits:27 misses:32 evictions12
hits:27 misses:33 evictions13
hits:28 misses:33 evictions13
hits:29 misses:33 evictions13
hits:30 misses:33 evictions13
hits:31 misses:33 evictions13
hits:32 misses:33 evictions13
hits:33 misses:33 evictions13
hits:34 misses:33 evictions13
hits:35 misses:33 evictions13
hits:36 misses:33 evictions13
hits:37 misses:33 evictions13
hits:38 misses:33 evictions13
hits:39 misses:33 evictions13
hits:40 misses:33 evictions13
hits:41 misses:33 evictions13
hits:42 misses:33 evictions13
hits:43 misses:33 evictions13
hits:44 misses:33 evictions13
hits:45 misses:33 evictions13
hits:46 misses:33 evictions13
hits:47 misses:33 evictions13
hits:48 misses:33 evictions13
hits:48 misses:34 evictions14
hits:49 misses:34 evictions14
hits:50 misses:34 evictions14
hits:50 misses:35 evictions15
hits:51 misses:35 evictions15
hits:52 misses:35 evictions15
hits:52 misses:36 evictions15
hits:52 misses:37 evictions15
hits:52 misses:38 evictions15
hits:53 misses:38 evictions15
hits:54 misses:38 evictions15
hits:55 misses:38 evictions15
hits:55 misses:39 evictions15
hits:56 misses:39 evictions15
hits:57 misses:39 evictions15
hits:57 misses:40 evictions15
hits:58 misses:40 evictions15
hits:59 misses:40 evictions15
hits:59 misses:41 evictions16
hits:60 misses:41 evictions16
hits:60 misses:42 evictions16
hits:61 misses:42 evictions16
hits:62 misses:42 evictions16
hits:63 misses:42 evictions16
hits:63 misses:43 evictions17
hits:64 misses:43 evictions17
hits:64 misses:44 evictions18
hits:64 misses:45 evictions18
hits:64 misses:46 evictions19
hits:64 misses:47 evictions20
hits:64 misses:48 evictions21
hits:65 misses:48 evictions21
hits:65 misses:49 evictions22
hits:66 misses:49 evictions22
hits:67 misses:49 evictions22
hits:68 misses:49 evictions22
hits:68 misses:50 evictions23
hits:69 misses:50 evictions23
hits:69 misses:51 evictions24
hits:70 misses:51 evictions24
hits:70 misses:52 evictions25
hits:70 misses:53 evictions25
hits:71 misses:53 evictions25
hits:71 misses:54 evictions26
hits:71 misses:55 evictions26
hits:72 misses:55 evictions26
hits:72 misses:56 evictions26
hits:73 misses:56 evictions26
hits:74 misses:56 evictions26
hits:75 misses:56 evictions26
hits:76 misses:56 evictions26
hits:76 misses:57 evictions27
hits:77 misses:57 evictions27
hits:78 misses:57 evictions27
hits:78 misses:58 evictions28
hits:79 misses:58 evictions28
hits:80 misses:58 evictions28
